ingredeint_id,ingredient_name,ingredient_image_url
453,Ingredients,
454,stuffg,
455,Carrots,
456,fely,
457,grated,
458,Sweet,
459,Potaes,
460,boiled,
461,and,
462,mhed,
463,Cum,
464,powder,
465,Green,
466,Chillies,
467,chopped,
468,Ciander,
469,Leaves,
470,chopped,
471,Salt,
472,s,
473,Mixed,
474,vegetables,
475,carrot,
476,beans,
477,cubes,
478,Onion,
479,thly,
480,sliced,
481,Toma,
482,roughly,
483,chopped,
484,Green,
485,Chilli,
486,slit,
487,ch,
488,Gger,
489,thly,
490,sliced,
491,Garlic,
492,sliced,
493,Curry,
494,leaves,
495,Coconut,
496,milk,
497,th,
498,Coconut,
499,milk,
500,thick,
501,Mustard,
502,seeds,
503,Black,
504,pepper,
505,powder,
506,Oil,
507,Coconut,
508,Oil,
509,Lemon,
510,juice,
511,Mt,
512,Leaves,
513,made,
514,pte,
515,Salt,
516,Baby,
517,Potaes,
518,Phool,
519,Makhana,
520,Cum,
521,seeds,
522,Fennel,
523,seeds,
524,Green,
525,Chillies,
526,fely,
527,chopped,
528,Red,
529,Chilli,
530,powder,
531,Turmeric,
532,powder,
533,Ciander,
534,Powder,
535,Salt,
536,namak,
537,is,
538,usg,
539,a,
540,s,
541,Oil,
542,Muthia,
543,Dhokla,
544,s,
545,Cooked,
546,rice,
547,Gram,
548,flour,
549,Red,
550,Chilli,
551,powder,
552,Turmeric,
553,powder,
554,Salt,
555,Kadhi,
556,s,
557,Gram,
558,flour,
559,Curd,
560,s,
561,Water,
562,Turmeric,
563,powder,
564,Red,
565,Chilli,
566,powder,
567,Salt,
568,Green,
569,Chilli,
570,slit,
571,ch,
572,Gger,
573,fely,
574,chopped,
575,Bay,
576,leaf,
577,rn,
578,ch,
579,Cnamon,
580,Stick,
581,broken,
582,Tadka,
583,Ghee,
584,Cum,
585,seeds,
586,ch,
587,Cnamon,
588,Stick,
589,broken,
590,Curry,
591,leaves,
592,rn,
593,Oil,
594,Badi,
595,urad,
596,dal,
597,spiced,
598,dumplg ,
599,Onions,
600,fely,
601,chopped ,
602,Tomaes,
603,ch,
604,Gger,
605,Pota,
606,wedges ,
607,Brjal,
608,wedges ,
609,Red,
610,Chilli,
611,powder,
612,Cum,
613,powder,
614,Garam,
615,mala,
616,powder,
617,Ciander,
618,Powder,
619,Salt,
620, ,
621,freshly,
622,ground,
623,mala ,
624,Fresh,
625,coconut,
626,grated ,
627,Dry,
628,Red,
629,Chillies,
630,Mustard,
631,seeds,
632,Turmeric,
633,powder,
634,Tamard,
635,Salt,
636, ,
637,Water,
638,Or,
639,Ingredients ,
640,Vellai,
641,Poosanikai,
642,gourdWhite,
643,medium,
644,sized,
645,cubes ,
646,Water,
647,Turmeric,
648,powder,
649,Salt,
650, ,
651,tadka ,
652,Oil,
653,Mustard,
654,seeds,
655,Dry,
656,Red,
657,Chillies,
658,Curry,
659,leaves,
660,Sm,
661,Brjal,
662,Onion,
663,roughly,
664,chopped,
665,Green,
666,Chillies,
667,chopped,
668,cloves,
669,Garlic,
670,ch,
671,Gger,
672,Mustard,
673,seeds,
674,Bay,
675,leaf,
676,ch,
677,Cnamon,
678,Stick,
679,Cloves,
680,Red,
681,Chilli,
682,powder,
683,Cum,
684,powder,
685,Ciander,
686,Powder,
687,Turmeric,
688,powder,
689,Tamard,
690,Water,
691,Oil,
692,cookg,
693,Salt,
694,pte,
695,Fresh,
696,coconut,
697,grated,
698,s,
699,Sesame,
700,seeds,
701,s,
702,Roted,
703,Peanuts,
704,Ciander,
705,Leaves,
706,garnish,
707,Bmati,
708,rice,
709,Soy,
710,Chunks,
711,Onions,
712,sliced,
713,Tomaes,
714,chopped,
715,Green,
716,Chilli,
717,slit,
718,Gger,
719,Garlic,
720,Pte,
721,Turmeric,
722,powder,
723,Oil,
724,ghee,
725,cookg,
726,Whole,
727,Spice,
728,Used,
729,Bay,
730,leaf,
731,Cardamom,
732,PodsSeeds,
733,Cloves,
734,ch,
735,Cnamon,
736,Stick,
737,Star,
738,anise,
739,Mace,
740,Biryani,
741,Mala,
742,grd,
743,Cardamom,
744,PodsSeeds,
745,Whole,
746,Black,
747,Peppercns,
748,Cloves,
749,ch,
750,Cnamon,
751,Stick,
752,Fennel,
753,seeds,
754,s,
755,Cooked,
756,rice,
757,s,
758,Oil,
759,Indian,
760,bage,
761,cleaned,
762,whed,
763,and,
764,separated,
765,Cum,
766,seeds,
767,Chana,
768,dal,
769,Gram,
770,White,
771,Urad,
772,Dal,
773,Dessicated,
774,Coconut,
775,chopped,
